fap_subtype,rank,gene,score,logfoldchange,pvals_adj
ECM-remodeling FAP,68,HES1,16.922588,,9.05815982427634e-63
ECM-remodeling FAP,69,CLU,16.897457,,1.3740673116732726e-62
ECM-remodeling FAP,70,MYL12A,16.858372,,2.6130804353976993e-62
ECM-remodeling FAP,71,PKM,16.851233,,2.920672895181688e-62
ECM-remodeling FAP,72,ENO1,16.669874,,6.11198976632019e-61
ECM-remodeling FAP,73,ISLR,16.548887,,4.5080992850675313e-60
ECM-remodeling FAP,74,PABPC1,16.486841,,1.238264291529546e-59
ECM-remodeling FAP,75,CD34,16.453938,,2.0954926052942887e-59
ECM-remodeling FAP,76,VASN,16.436178,,2.7603867999717593e-59
ECM-remodeling FAP,77,CITED2,16.413292,,3.99075080740575e-59
ECM-remodeling FAP,78,COX6B1,16.33369,,1.45131130875013e-58
ECM-remodeling FAP,79,CADM3,16.311838,,2.0414955152080087e-58
ECM-remodeling FAP,80,CDA,16.200954,,1.2363392367825185e-57
ECM-remodeling FAP,81,LDHA,16.141361,,3.226111855286627e-57
ECM-remodeling FAP,82,BRK1,15.985659,,3.9085911877028575e-56
ECM-remodeling FAP,83,RHOA,15.980596,,4.20541707967778e-56
ECM-remodeling FAP,84,EFEMP1,15.977945,,4.353240130282612e-56
ECM-remodeling FAP,85,EIF3E,15.9517,,6.577490382740156e-56
ECM-remodeling FAP,86,PRELP,15.917083,,1.1354008616305412e-55
ECM-remodeling FAP,87,RABAC1,15.898217,,1.5227131235582865e-55
ECM-remodeling FAP,88,NDUFA1,15.892715,,1.649643296491852e-55
ECM-remodeling FAP,89,YBX1,15.865692,,2.5185845750339458e-55
ECM-remodeling FAP,90,DDAH2,15.764649,,1.2434143339388707e-54
ECM-remodeling FAP,91,UQCRQ,15.696153,,3.640424721500996e-54
ECM-remodeling FAP,92,KCNAB1,15.556903,,3.2118856875349976e-53
ECM-remodeling FAP,93,C1QTNF3,15.518923,,5.766057340054542e-53
ECM-remodeling FAP,94,AKR1C1,15.504216,,7.197042889648911e-53
ECM-remodeling FAP,95,SCARA5,15.469888,,1.2184677166268706e-52
ECM-remodeling FAP,96,PHGDH,15.355145,,7.143317786003388e-52
ECM-remodeling FAP,97,EIF3H,15.311189,,1.395442512239203e-51
ECM-remodeling FAP,98,DYNLL1,15.281399,,2.1894499950516985e-51
ECM-remodeling FAP,99,DSTN,15.259741,,3.030324483042361e-51
ECM-remodeling FAP,100,GABARAPL2,15.103063,,3.2799814586714453e-50
adipogenic FAP,1,CYP4B1,70.90233,,0.0
adipogenic FAP,2,PRDX6,63.624386,,0.0
adipogenic FAP,3,GALNT15,61.315735,,0.0
adipogenic FAP,4,GLUL,60.935745,,0.0
adipogenic FAP,5,NAP1L1,59.957535,,0.0
adipogenic FAP,6,RAMP2,59.040955,,0.0
adipogenic FAP,7,PDLIM1,58.952106,,0.0
adipogenic FAP,8,FKBP5,58.54601,,0.0
adipogenic FAP,9,PRELP,53.96258,,0.0
adipogenic FAP,10,SAMHD1,53.034855,,0.0
adipogenic FAP,11,IGFBP3,49.29107,,0.0
adipogenic FAP,12,COL4A1,49.027214,,0.0
adipogenic FAP,13,TGFBR3,48.577938,,0.0
adipogenic FAP,14,LINC01088,47.96266,,0.0
adipogenic FAP,15,TXNIP,46.635647,,0.0
adipogenic FAP,16,FOXO3,46.380356,,0.0
adipogenic FAP,17,EIF4A2,46.37224,,0.0
adipogenic FAP,18,NID1,46.336468,,0.0
adipogenic FAP,19,ZBTB16,45.94641,,0.0
adipogenic FAP,20,ZFAND5,45.7586,,0.0
adipogenic FAP,21,COL4A2,44.972218,,0.0
adipogenic FAP,22,PDK4,44.933125,,0.0
adipogenic FAP,23,DDIT4,44.619995,,0.0
adipogenic FAP,24,MT1X,44.372665,,0.0
adipogenic FAP,25,GPX3,43.380993,,0.0
adipogenic FAP,26,TSC22D3,42.998493,,0.0
adipogenic FAP,27,SRPX,42.708168,,0.0
adipogenic FAP,28,HIF3A,40.969772,,0.0
adipogenic FAP,29,CCNI,40.82419,,0.0
adipogenic FAP,30,NPM1,40.692303,,0.0
adipogenic FAP,31,LPP,40.374237,,0.0
adipogenic FAP,32,CNBP,39.903526,,0.0
adipogenic FAP,33,BTF3,39.857975,,0.0
adipogenic FAP,34,PID1,38.587845,,0.0
adipogenic FAP,35,BZW1,38.484688,,0.0
adipogenic FAP,36,LDHB,37.88688,,0.0
adipogenic FAP,37,TGFBR2,37.48876,,6.043867399587058e-306
adipogenic FAP,38,HSPA1A,37.342415,,1.3893561055958706e-303
adipogenic FAP,39,HSPA1B,37.220043,,1.3172174060076595e-301
adipogenic FAP,40,EIF3E,37.1901,,3.9627671181475926e-301
adipogenic FAP,41,RPS4Y1,36.73839,,6.971985497023959e-294
adipogenic FAP,42,EEF1B2,35.578564,,1.1322151097947183e-275
adipogenic FAP,43,YBX3,35.575905,,1.2292068649297329e-275
adipogenic FAP,44,RHOB,35.37186,,1.6591572180774298e-272
adipogenic FAP,45,KIAA0040,34.765224,,2.7629970840393932e-263
adipogenic FAP,46,TACC1,34.450512,,1.4648830842766567e-258
adipogenic FAP,47,TFPI,32.992992,,3.1797747083596454e-237
adipogenic FAP,48,ZBTB20,32.78015,,3.4728809192067484e-234
adipogenic FAP,49,HNRNPK,32.486946,,4.8634245973063845e-230
adipogenic FAP,50,SAT1,32.476444,,6.775699482803879e-230
adipogenic FAP,51,USP53,32.135487,,4.0426411236757067e-225
adipogenic FAP,52,FOXO1,32.116764,,7.312121247683834e-225
adipogenic FAP,53,ST13,31.807865,,1.4058433126699089e-220
adipogenic FAP,54,HSPH1,31.696154,,4.852228599344305e-219
adipogenic FAP,55,ZFAS1,31.373325,,1.258399670731285e-214
adipogenic FAP,56,EEF2,31.197418,,3.0524871632369807e-212
adipogenic FAP,57,CIRBP,31.107077,,5.018920111091909e-211
adipogenic FAP,58,PIK3R1,31.106106,,5.128585597450708e-211
adipogenic FAP,59,SLPI,30.953913,,5.746581136711531e-209
adipogenic FAP,60,CFH,30.933832,,1.061417709884071e-208
adipogenic FAP,61,N4BP2L2,30.908443,,2.3096651978520263e-208
adipogenic FAP,62,RSL24D1,30.888535,,4.240164479768652e-208
adipogenic FAP,63,UBXN1,30.326221,,1.246868648472828e-200
adipogenic FAP,64,EIF4A1,30.240726,,1.652018903074017e-199
adipogenic FAP,65,RPS10,29.885294,,7.193002884901872e-195
adipogenic FAP,66,THBS1,29.690672,,2.3484437164455222e-192
adipogenic FAP,67,PABPC1,29.681583,,3.0531759125027544e-192
adipogenic FAP,68,MYL12A,29.67814,,3.3563852514189975e-192
adipogenic FAP,69,PTMA,29.181679,,7.44830759510497e-186
adipogenic FAP,70,RBM3,29.133656,,3.003715434024354e-185
adipogenic FAP,71,GGT5,29.129349,,3.380641160528203e-185
adipogenic FAP,72,MGST1,29.057064,,2.755674775646818e-184
adipogenic FAP,73,SLC25A3,28.954107,,5.4002497837192574e-183
adipogenic FAP,74,CFLAR,28.841805,,1.3816887587390776e-181
adipogenic FAP,75,EIF3G,28.78032,,8.082948434301582e-181
adipogenic FAP,76,C1QTNF1,28.49082,,3.2297934117783727e-177
adipogenic FAP,77,YWHAE,28.375204,,8.620617781108967e-176
adipogenic FAP,78,PLA2G2A,28.339182,,2.3806917205266467e-175
adipogenic FAP,79,NDRG2,28.29842,,7.509993735737105e-175
adipogenic FAP,80,VAMP2,28.276617,,1.3830053371330764e-174
adipogenic FAP,81,PARK7,28.274418,,1.4618733681647332e-174
adipogenic FAP,82,RPSA,28.199108,,1.2208123183413576e-173
adipogenic FAP,83,TALDO1,28.152756,,4.4837532958723715e-173
adipogenic FAP,84,EIF3H,27.80571,,7.28689692661315e-169
adipogenic FAP,85,RASSF4,27.656748,,4.500279898828945e-167
adipogenic FAP,86,UBE2D3,27.533125,,1.3612296910518894e-165
adipogenic FAP,87,LAMA2,27.45215,,1.2488412540415292e-164
adipogenic FAP,88,PCBP2,27.31342,,5.56899931147679e-163
adipogenic FAP,89,CEBPB,27.297228,,8.616119462223766e-163
adipogenic FAP,90,PTGES3,27.221119,,6.79444660749348e-162
adipogenic FAP,91,CITED2,27.193628,,1.4280842934994338e-161
adipogenic FAP,92,SRSF3,27.108854,,1.422568731812859e-160
adipogenic FAP,93,SKP1,27.067549,,4.335149524815779e-160
adipogenic FAP,94,MAP1B,27.025192,,1.340898346558602e-159
adipogenic FAP,95,SLC39A14,26.892881,,4.715099203471938e-158
adipogenic FAP,96,PPDPF,26.84925,,1.5164267016765573e-157
adipogenic FAP,97,EIF3L,26.777353,,1.0331661770202026e-156
adipogenic FAP,98,CRISPLD2,26.56477,,3.002497803974717e-154
