sender,receiver,ligand,receptor,pathway,ligand_mean_log_expr,receptor_mean_log_expr,interaction_score
t_cell,ECM-remodeling FAP,SPP1,CD44,SPP1,0.0037017289299512714,5.769134044139827,0.021355770391959173
DA-FAP,adipogenic FAP,CCL2,CCR2,CCL,4.394311676523798,0.004856273839668318,0.021339980838051546
b_cell,t_cell,JAG1,NOTCH1,NOTCH,0.05787892581253873,0.36748406365985364,0.02126958285785893
t_cell,schwann_cell,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.45598061952044994,0.02112602126229647
unassigned,satellite_cell,CXCL12,CXCR4,CXCL12,0.01001565066110896,2.1064633861075124,0.021097601405669526
b_cell,myonuclei_muscle_fiber,WNT5A,FZD4,WNT,0.03266098799906606,0.6442254132051389,0.02104103848938642
unassigned,adipocyte,WNT5A,FZD4,WNT,0.018143518883634423,1.1517362687629717,0.020896548741267628
macrophage_monocyte,homeostatic FAP,COL1A1,ITGA1,ECM_integrin,0.11972789169691629,0.17442995850948448,0.02088413118112116
myonuclei_muscle_fiber,macrophage_monocyte,PDGFA,PDGFRA,PDGF,0.4475695461395059,0.04658249091727837,0.020848904317893935
inflammatory FAP,myonuclei_muscle_fiber,PDGFA,PDGFRA,PDGF,0.06146935868023552,0.33798758415781355,0.02077588004006293
macrophage_monocyte,inflammatory FAP,COL1A1,ITGA1,ECM_integrin,0.11972789169691629,0.17338819021585566,0.020759402459688287
unassigned,t_cell,JAG1,NOTCH1,NOTCH,0.05644994884448335,0.36748406365985364,0.020744456594761602
myonuclei_muscle_fiber,myonuclei_muscle_fiber,CXCL12,CXCR4,CXCL12,1.1398234272417804,0.01813705829410155,0.020673043944866788
schwann_cell,adipocyte,IL6,IL6R,IL6,0.07951801331927251,0.25894850960117244,0.020591071035471795
b_cell,schwann_cell,FN1,ITGA5,ECM_integrin,0.06194349060138232,0.33218559188741703,0.02057673508899284
adipocyte,unassigned,CCL2,CCR2,CCL,3.3379445531361287,0.006158302157958443,0.020556071144723853
endothelial,unassigned,CCL2,CCR2,CCL,3.3301823187955066,0.006158302157958443,0.02050826896023342
inflammatory FAP,ECM-remodeling FAP,JAG1,NOTCH1,NOTCH,0.7302812365196376,0.028081924080349045,0.02050770224124789
b_cell,b_cell,JAG1,NOTCH1,NOTCH,0.05787892581253873,0.3512957475548897,0.020332620510989795
satellite_cell,satellite_cell,PDGFB,PDGFRB,PDGF,0.12019068950771747,0.16896125543218754,0.020307569790484193
ECM-remodeling FAP,t_cell,TNF,TNFRSF1A,TNF,0.030227042838924887,0.6682549804617375,0.020199371921741854
satellite_cell,t_cell,PDGFA,PDGFRA,PDGF,1.3906269159579585,0.014483376664053239,0.02014097342298982
satellite_cell,adipocyte,TNF,TNFRSF1A,TNF,0.019457991627902262,1.0304555448563801,0.02005059536474091
inflammatory FAP,endothelial,TNF,TNFRSF1A,TNF,0.01144806283965319,1.7456052715481678,0.019983798841913293
myonuclei_muscle_fiber,myonuclei_muscle_fiber,TGFB1,TGFBR1,TGFB,0.07629339915116821,0.26163699326434947,0.019961175559828525
unassigned,ECM-remodeling FAP,WNT5A,FZD4,WNT,0.018143518883634423,1.0994972114337298,0.019948748418151266
myonuclei_muscle_fiber,homeostatic FAP,TNF,TNFRSF1A,TNF,0.009515472782029539,2.0915663183626334,0.019902242374189368
unassigned,b_cell,JAG1,NOTCH1,NOTCH,0.05644994884448335,0.3512957475548897,0.01983062697875806
t_cell,homeostatic FAP,COL1A1,ITGA1,ECM_integrin,0.11367776805245931,0.17442995850948448,0.01982880836484128
adipocyte,adipocyte,SPP1,CD44,SPP1,0.01829831118952408,1.078995143418856,0.019743788906263396
t_cell,inflammatory FAP,COL1A1,ITGA1,ECM_integrin,0.11367776805245931,0.17338819021585566,0.019710382470393736
satellite_cell,unassigned,CCL2,CCR2,CCL,3.198612315159484,0.006158302157958443,0.0196980211229191
adipogenic FAP,b_cell,TNF,TNFRSF1A,TNF,0.05122178099667866,0.3844701237179918,0.019693244476848924
schwann_cell,b_cell,IL6,IL6R,IL6,0.07951801331927251,0.24759931701419544,0.01968860578817757
schwann_cell,DA-FAP,CXCL12,CXCR4,CXCL12,0.237134550449131,0.08277043775050516,0.019627730546443824
t_cell,smooth_muscle_pericyte,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.4233719222603423,0.019615228912443262
adipogenic FAP,satellite_cell,SPP1,CD44,SPP1,0.007359465109789853,2.6564684521288124,0.01955018688869945
macrophage_monocyte,t_cell,COL1A1,ITGA1,ECM_integrin,0.11972789169691629,0.16117686830010314,0.01929736663188289
satellite_cell,myonuclei_muscle_fiber,CXCL12,CXCR4,CXCL12,1.062568632920575,0.01813705829410155,0.01927186923676426
endothelial,adipocyte,SPP1,CD44,SPP1,0.01782576593280195,1.078995143418856,0.019233914869214597
schwann_cell,endothelial,IL6,IL6R,IL6,0.07951801331927251,0.24184808126642582,0.019231278947384148
unassigned,DA-FAP,WNT5A,FZD4,WNT,0.018143518883634423,1.0584055064437186,0.019203200292704264
homeostatic FAP,ECM-remodeling FAP,SPP1,CD44,SPP1,0.003305744127084456,5.769134044139827,0.01907128098477823
macrophage_monocyte,adipocyte,WNT5A,FZD4,WNT,0.01646655180114709,1.1517362687629717,0.01896512493084534
DA-FAP,adipocyte,PDGFB,PDGFRB,PDGF,0.022419124201480643,0.8428111834299699,0.01889508859971338
inflammatory FAP,adipocyte,CCL2,CCR2,CCL,2.7240224263471378,0.0069161115969863,0.0188396430933102
myonuclei_muscle_fiber,satellite_cell,PDGFB,PDGFRB,PDGF,0.11128408945066876,0.16896125543218754,0.01880269946321285
ECM-remodeling FAP,smooth_muscle_pericyte,PDGFB,PDGFRB,PDGF,0.004737433793487038,3.9554246786240435,0.01873856254010615
schwann_cell,homeostatic FAP,JAG1,NOTCH1,NOTCH,0.3661447942916008,0.05102059749133455,0.018680926173099254
t_cell,myonuclei_muscle_fiber,PDGFA,PDGFRA,PDGF,0.055103555814550814,0.33798758415781355,0.01862431770826527
adipocyte,b_cell,COL1A1,ITGA1,ECM_integrin,0.6058540047639327,0.03069199497972761,0.018594868072662488
myonuclei_muscle_fiber,adipogenic FAP,JAG1,NOTCH1,NOTCH,0.2647498457137947,0.07014181446370683,0.018570034557351997
DA-FAP,schwann_cell,SPP1,CD44,SPP1,0.015368449005934154,1.2064954544612572,0.018541963867779183
b_cell,homeostatic FAP,COL1A1,ITGA1,ECM_integrin,0.10585858383917068,0.17442995850948448,0.018464908386939326
t_cell,unassigned,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.397996860625663,0.018439577867909607
myonuclei_muscle_fiber,unassigned,TNF,TNFRSF1A,TNF,0.009515472782029539,1.9333877306720861,0.018397098328320094
t_cell,macrophage_monocyte,SPP1,CD44,SPP1,0.0037017289299512714,4.967461870217856,0.018388197313415285
b_cell,inflammatory FAP,COL1A1,ITGA1,ECM_integrin,0.10585858383917068,0.17338819021585566,0.01835462827068723
t_cell,t_cell,SPP1,CD44,SPP1,0.0037017289299512714,4.957426809703607,0.01835105023959588
homeostatic FAP,myonuclei_muscle_fiber,TNF,TNFRSF1A,TNF,0.03608140528943205,0.5082156347380845,0.01833713429141079
t_cell,t_cell,COL1A1,ITGA1,ECM_integrin,0.11367776805245931,0.16117686830010314,0.018322226650040907
b_cell,satellite_cell,SPP1,CD44,SPP1,0.006873362243351475,2.6564684521288124,0.018258869959516515
endothelial,satellite_cell,WNT5A,FZD4,WNT,0.04196554815044741,0.4327330701468539,0.018159880491538733
b_cell,adipocyte,PDGFA,PDGFRA,PDGF,0.07200611936523879,0.2518612025716909,0.018135547815849765
homeostatic FAP,t_cell,WNT5A,FZD4,WNT,2.4045408374272883,0.0075352845441157374,0.018118899407960957
macrophage_monocyte,ECM-remodeling FAP,WNT5A,FZD4,WNT,0.01646655180114709,1.0994972114337298,0.018104927787290285
satellite_cell,b_cell,PDGFB,PDGFRB,PDGF,0.12019068950771747,0.1500450471143682,0.018034017669893865
DA-FAP,macrophage_monocyte,PDGFA,PDGFRA,PDGF,0.386583885416965,0.04658249091727837,0.018008040331201954
macrophage_monocyte,macrophage_monocyte,COL1A1,ITGA1,ECM_integrin,0.11972789169691629,0.14999251157086438,0.017958287180704913
inflammatory FAP,smooth_muscle_pericyte,TNF,TNFRSF1A,TNF,0.01144806283965319,1.5567120360784859,0.017821337212270968
unassigned,smooth_muscle_pericyte,PDGFA,PDGFRA,PDGF,0.03628134958693189,0.4910047815420876,0.017814316127983603
adipogenic FAP,smooth_muscle_pericyte,SPP1,CD44,SPP1,0.007359465109789853,2.4020422887528947,0.017677746416316694
b_cell,endothelial,PDGFA,PDGFRA,PDGF,0.07200611936523879,0.24524814268320855,0.017659367036150227
macrophage_monocyte,DA-FAP,WNT5A,FZD4,WNT,0.01646655180114709,1.0584055064437186,0.01742828909847481
smooth_muscle_pericyte,adipogenic FAP,CCL2,CCR2,CCL,3.5798670374910477,0.004856273839668318,0.017384814643658698
satellite_cell,t_cell,PDGFB,PDGFRB,PDGF,0.12019068950771747,0.14422613208621282,0.017334638260473052
unassigned,satellite_cell,IL6,IL6R,IL6,0.039198908728989144,0.44215124286966034,0.017331846213656927
DA-FAP,endothelial,CCL2,CCR2,CCL,4.394311676523798,0.0039261080409515635,0.01725254240764743
satellite_cell,macrophage_monocyte,PDGFB,PDGFRB,PDGF,0.12019068950771747,0.14320233862836718,0.017211587818861094
